Account Name,Domain,Industry Category,Score,Funding Stage/Recent Signal,Reason for Inclusion,Specific Pain Point / Trigger,Strategic Alignment,Budget Signal
Alvarez & Marsal,alvarezandmarsal.com,Advisory/Restructuring,8,Launched corporate transactions group,"$3B+ revenue, launched corporate M&A practice by hiring from KPMG, expects to hire hundreds of partners/staff","Advisory firm expanding M&A services = client site work for due diligence, restructuring engagements, rapid team growth.","Professional services (not Big 4). M&A advisory = travel for site visits, management interviews, integration planning.","$3B+ revenue, aggressive hiring expansion"
Zolve,zolve.com,FinTech - Banking,9,Series B ($51M 2024),"Fintech for cross-border banking, raised $51M Series B led by Creaegis with HSBC/SBI participation, expanding to new geographies","FinTech expansion = sales teams visiting banks for partnerships, exec travel for investor meetings, compliance teams for regulatory.","FinTech vertical fit. Geographic expansion mentioned = increased business travel. Banking partnerships require in-person meetings.","$51M Series B, geographic expansion"
Mercury,mercury.com,FinTech - Banking,9,Series C ($300M 2025),"Startup banking platform, raised $300M Series C at $3.5B valuation, 100K+ customers, expanding to SMB/enterprise","Banking platform expanding beyond startups = field sales for SMB/enterprise. FinTech = conference presence (Money20/20, FinovateFall).","FinTech growth stage. 100K customers = large sales/CS org traveling. Banking = regulatory meetings, partner visits.","$3.5B valuation, $300M Series C, 100K+ customers"
Payhawk,payhawk.com,FinTech - Expense Mgmt,9,Series B ($100M),"Expense management unicorn, $100M Series B, AI-first spend management platform, expanding globally","Ironic fit: expense management company needs travel management. Unicorn growth = sales/CS teams traveling for enterprise deals.","FinTech + expense management vertical. Global expansion = international travel. Could integrate with Itilite for unified T&E.","$100M Series B, unicorn status, global"
Ramp,ramp.com,FinTech - Spend Management,9,High growth ($775M ARR 2024),"Expense management unicorn, $775M ARR, 30K+ customers, competing in corporate spend market","Ironic fit: spend management company needs travel management. Fast growth = sales/CS teams traveling for enterprise deals.","FinTech SaaS with enterprise customers. Itilite can integrate with Ramp cards for unified T&E solution.","$775M ARR, 30K+ customers"
Kargo.ai,kargo.ai,Supply Chain Tech,10,Series B ($42M Dec 2025),"Warehouse AI/robotics, $42M Series B, tripled revenue 2024-2025, 45+ Fortune 500 customers (Mercedes-Benz, Tillamook), 1000+ towers deployed","Warehouse automation = field engineers traveling to customer sites for deployments, training, support. 45 enterprise customers = CS travel.","Manufacturing/supply chain vertical. Field deployment model = constant travel. Tripled revenue = scaling teams rapidly.","$42M Series B, tripled revenue, 45+ F500 customers"
Axion,axionray.com,Manufacturing AI,9,Series B ($37M),"AI platform for manufacturing quality, $37M Series B led by Salesforce Ventures, expanding customer deployments","Manufacturing AI = field teams deploying systems at factories, training engineers, ongoing support visits.","Manufacturing vertical (Praj case study). Implementation model = travel to customer facilities, quality audits, training.","$37M Series B, Salesforce Ventures"
Fact Base,factbase.com,Manufacturing SaaS,8,Series C ($28.5M Dec 2025),"Tokyo-based drawing management system for manufacturing, $28.5M Series C led by Insight Partners, entering US/Europe","Japanese manufacturing SaaS entering US/Europe = sales teams opening new markets, partnerships, customer implementations.","Manufacturing vertical. International expansion (Japan → US/Europe) = significant travel for market entry, sales, support.","$28.5M Series C, US/Europe expansion"
Zuper,zuper.co,Field Service Management,9,Series B ($32M 2023),"Field service management platform, $32M Series B led by FUSE, competing with ServiceTitan, $46M total funding","Field service software = field teams visiting customer sites (HVAC, plumbing companies), conference presence, training.","SaaS with field deployment model. Customers are service businesses = travel for implementations, training, customer success.","$32M Series B, $46M total funding"
Serval,serval.com,IT Service Management,9,Series B ($75M Dec 2024),"AI-native ITSM platform, $75M Series B led by Sequoia, $1B valuation, enterprise automation and service management","IT service management = field teams implementing at enterprise customer sites, workshops, executive briefings.","SaaS with enterprise customers. $1B valuation = scaling rapidly. ITSM implementations = travel for training, change management.","$75M Series B, $1B valuation, Sequoia"
Vestas,vestas.com,Renewable Energy,9,Global projects (multiple countries),"Wind turbine manufacturer with 30K+ employees, global project installations requiring international travel coordination","Renewable energy = field engineers traveling to installation sites globally. Similar to Nordex case study (1000% workforce growth).","Direct match to Nordex renewable energy case study. International projects = complex travel logistics, group bookings.","30K+ employees, global project sites"
Orsted,orsted.com,Renewable Energy,8,Offshore wind expansion (US/Europe),"Offshore wind developer expanding in US and Europe, project sites requiring frequent site visits, regulatory meetings","Renewable energy projects = executives traveling for permitting, engineers for site inspections, project managers coordinating.","Renewable energy vertical (Nordex case). Offshore wind = international travel for permitting, construction oversight.","Global renewable leader, US expansion"
First Solar,firstsolar.com,Solar Manufacturing,8,New plants (Alabama, Louisiana 2025),"Opening new manufacturing plants in Alabama (operational) and Louisiana (2025), targeting 25 GW annual capacity by 2027","New plant openings = exec travel, training teams, supplier meetings, commissioning engineers. Manufacturing expansion = group travel.","Manufacturing vertical (AB InBev, Praj cases). Plant expansions = surge in business travel for ramp-up.","25 GW capacity target, new facilities"
AB InBev (India Operations),ab-inbev.com,Beverage Manufacturing,7,Existing Itilite customer,"Already using Itilite (case study: digitalized travel in 25 days), reference-able customer for expansion/upsell","Potential for account expansion: additional business units, regions, or upgraded features (corporate cards, Mastermind AI)","Perfect reference account, could expand to other AB InBev regions or business units beyond India.","Global beverage leader, existing customer"
Awardco,awardco.com,HR Tech - Recognition,9,Series B ($165M May 2025),"Employee recognition and rewards platform, $165M Series B May 2025, $235M total funding","HR recognition platform scaling = sales teams visiting enterprise HR departments, implementations, customer success programs.","HR Tech vertical. Employee rewards = large enterprise customers = CS travel for implementations, quarterly reviews.","$165M Series B, $235M total funding"
Sona,sona.ai,Workforce Management,8,Series A ($27.5M 2024),"Workforce management for frontline employees (care homes, restaurants, hotels), $27.5M Series A 2024","Frontline workforce platform = field teams visiting customer sites (hotels, restaurants), training managers, support visits.","Workforce management + hospitality/healthcare verticals. Frontline workers = travel-intensive customer base, field implementations.","$27.5M Series A, frontline workforce focus"
Incredible Health,incrediblehealth.com,Healthcare Recruiting,8,Series C ($80M 2022),"Nurse recruiting platform, $80M Series C 2022, permanent placement for nurses at hospitals nationwide","Healthcare recruiting = BD teams visiting hospitals for partnerships, recruiting events at medical schools, nurse fairs.","Healthcare + recruiting verticals (THS case study overlap). Hospital partnerships = travel for relationship building.","$80M Series C, healthcare recruiting leader"
